Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
RDVeauAl 12, , Sample, On
RDVeauAl 22, , Sample, On
RDVeauAl 32, , Sample, On
RDVeauAl 42, , Sample, On
RDVeauUK 12, , Sample, On
RDVeauUK 22, , Sample, On
RDVeauUK 32, , Sample, On
RDVeauUK 42, , Sample, On
RDVeauUK 52, , Sample, On
RDVeauUK 62, , Sample, On
RDAgneauUK 12, , Sample, On
RDAgneauUK 22, , Sample, On
RDAgneauUK 32, , Sample, On
RDAgneauUK 42, , Sample, On
RDAgneauUK 52, , Sample, On
RDChevreUK 12, , Sample, On
RDChevreUK 22, , Sample, On
RDChevreUK 32, , Sample, On
RDChevreUK 42, , Sample, On
RDChevreUK 52, , Sample, On
RDChevreUK 62, , Sample, On
