Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
TDgAgneauUK 12, , Sample, On
TDgAgneauUK 22, , Sample, On
TDgAgneauUK 32, , Sample, On
TDgAgneauUK 42, , Sample, On
TDgAgneauUK 52, , Sample, On
TDgChevreUK 12, , Sample, On
TDgChevreUK 22, , Sample, On
TDgChevreUK 32, , Sample, On
TDgChevreUK 42, , Sample, On
TDgChevreUK 52, , Sample, On
TDgChevreUK 62, , Sample, On
TDgVeauUK 12, , Sample, On
TDgVeauUK 22, , Sample, On
TDgVeauUK 32, , Sample, On
TDgVeauUK 42, , Sample, On
Empty Chamber 2, , Sample, On
TDgVeauUK 52, , Sample, On
TDgVeauUK 62, , Sample, On
TDgVeauAl 12, , Sample, On
TDgVeauAl 32, , Sample, On
TDgVeauAl 42, , Sample, On
TDgVeauAl 22, , Sample, On
