Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
RTgChevreUK 12, , Sample, On
RTgChevreUK 52, , Sample, On
RTgVeauUK 12 , , Sample, On
RTgVeauUK 22, , Sample, On
RTgVeauUK 32, , Sample, On
RTgVeauUK 42, , Sample, On
RTgVeauUK 52, , Sample, On
RTgVeauUK 62, , Sample, On
RTgAgneauUK 12, , Sample, On
RTgAgneauUK 22, , Sample, On
RTgAgneauUK 32, , Sample, On
RTgAgneauUK 42, , Sample, On
RTgAgneauUK 52, , Sample, On
RTgVeauAl 12, , Sample, On
RTgVeauAl 22, , Sample, On
RTgVeauAl 42, , Sample, On
RTgVeauAl 32, , Sample, On
