Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
RDgChevreUK 12, , Sample, On
RDgChevreUK 22, , Sample, On
RDgChevreUK 32, , Sample, On
RDgChevreUK 42, , Sample, On
RDgChevreUK 52, , Sample, On
RDgChevreUK 62, , Sample, On
RDgVeauUK 12, , Sample, On
RDgVeauUK 22, , Sample, On
RDgVeauUK 32, , Sample, On
RDgVeauUK 42, , Sample, On
RDgVeauUK 52, , Sample, On
RDgVeauUK 62, , Sample, On
RDgVeauUK 122, , Sample, On
RDgVeauUK 322, , Sample, On
RDgVeauAl 12, , Sample, On
RDgVeauAl 22, , Sample, On
RDgVeauAl 32, , Sample, On
RDgVeauAl 42, , Sample, On
RDgAgneauUK 12 , , Sample, On
RDgAgneauUK 22, , Sample, On
RDgAgneauUK 32, , Sample, On
RDgAgneauUK 42, , Sample, On
RDgAgneauUK 52, , Sample, On
