Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
TDms1556131, , Sample, On
TTms1556131, , Sample, On
RTms1556131, , Sample, On
RDms1556131, , Sample, On
TDms1556141, , Sample, On
TTms1556141, , Sample, On
RTms1556141, , Sample, On
RDms1556141, , Sample, On
TDms1482151, , Sample, On
TTms1482151, , Sample, On
RTms1482151, , Sample, On
RDms1482151, , Sample, On
TDms1482161, , Sample, On
TTms1482161, , Sample, On
RTms1482161, , Sample, On
RDms1482161, , Sample, On
TDms499171, , Sample, On
TTms499171, , Sample, On
RTms499171, , Sample, On
RDms499171, , Sample, On
TDms499181, , Sample, On
TTms499181, , Sample, On
RTms499181, , Sample, On
RDms499181, , Sample, On
