Sample ID, Description, Type, CBDep
Empty Chamber 2, , Sample, On
TDmsopph201, , Sample, On
TTmsopph201, , Sample, On
RTmsopph201, , Sample, On
RDmsopph201, , Sample, On
TDmshap12, , Sample, On
TTmshap12, , Sample, On
RTmshap12, , Sample, On
RDmshap12, , Sample, On
TDmshap22, , Sample, On
TTmshap22, , Sample, On
RTmshap22, , Sample, On
RDmshap22, , Sample, On
TDms159332, , Sample, On
TTms159332, , Sample, On
RTms159332, , Sample, On
RDms159332, , Sample, On
TDms159342, , Sample, On
TTms159342, , Sample, On
RTms159342, , Sample, On
RDms159342, , Sample, On
