Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
TDms148352, , Sample, On
TTms148352, , Sample, On
RTms148352, , Sample, On
RDms148352, , Sample, On
TDms148362, , Sample, On
TTms148362, , Sample, On
RTms148362, , Sample, On
RDms148362, , Sample, On
TDmsmeh72, , Sample, On
TTmsmeh72, , Sample, On
RTmsmeh72, , Sample, On
RDmsmeh72, , Sample, On
TDmsmeh82, , Sample, On
TTmsmeh82, , Sample, On
RTmsmeh82, , Sample, On
RDmsmeh82, , Sample, On
TDmsfkat92, , Sample, On
TTmsfkat92, , Sample, On
RTmsfkat92, , Sample, On
RDmsfkat92, , Sample, On
TDmsfkat102, , Sample, On
TTmsfkat102, , Sample, On
RTmsfkat102, , Sample, On
RDmsfkat102, , Sample, On
TDms1240112, , Sample, On
TTms1240112, , Sample, On
RTms1240112, , Sample, On
RDms1240112, , Sample, On
Empty Chamber 2, , Sample, On
TDms1240122, , Sample, On
TTms1240122, , Sample, On
RTms1240122, , Sample, On
RDms1240122, , Sample, On
