Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
Amshap12, , Sample, On
Amshap22, , Sample, On
Ams159332, , Sample, On
Ams159342, , Sample, On
Ams148352, , Sample, On
Ams148362, , Sample, On
Ams14835228grados, , Sample, On
Amsmeh72, , Sample, On
Amsmeh82, , Sample, On
Amsfkat92, , Sample, On
Amsfkat102, , Sample, On
Ams1240112, , Sample, On
Ams1240122, , Sample, On
Amsopph192, , Sample, On
Amsopph202, , Sample, On
Ams1556132, , Sample, On
Ams1556142, , Sample, On
Ams1482152, , Sample, On
Ams1482162, , Sample, On
Ams499172, , Sample, On
Ams499182, , Sample, On
