Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
TTVeauAl 12, , Sample, On
TTVeauAl 22, , Sample, On
TTVeauAl 32, , Sample, On
TTVeauAl 42, , Sample, On
TTVeauAl 52, , Sample, On
TTVeauAl 62, , Sample, On
TTChevreUK 12, , Sample, On
TTChevreUK 22, , Sample, On
TTChevreUK 32, , Sample, On
TTChevreUK 42, , Sample, On
TTChevreUK 52, , Sample, On
TTChevreUK 62, , Sample, On
TTAgneau 12, , Sample, On
TTAgneau 22, , Sample, On
TTAgneau 32, , Sample, On
TTAgneau 42, , Sample, On
TTAgneau 52, , Sample, On
TTAgneau 62, , Sample, On
